ID,name,crop,system,gaez_name,gaez_code,gaez_crop,gaez_input,gaez_system,suit_variable,prod_variable
1,Wheat,whea,S,wheat,whe,wheat,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
2,Rice,rice,S,"rice, dry",rcd,drylandrice,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
3,Maize,maiz,S,"maize, grain",mze,maize,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
4,Barley,barl,S,barley,brl,barley,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
,Millit,mill,S,millet,mil,millet,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
7,Sorghum,sorg,S,sorghum,srg,sorghum,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
8,Other Cereals,ocer,S,oat,oat,oat,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
9,Potato,pota,S,white potato,wpo,whitepotato,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
10,Sweet Potato,swpo,S,sweet potato,spo,sweetpotato,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
11,Yams,yams,S,yam,yam,yamandcocoyam,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
12,Cassava,cass,S,cassava,csv,cassava,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
13,Other Roots,orts,S,yam,yam,yamandcocoyam,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
14,Bean,bean,S,phas. Beans,phb,phaseolusbean,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
15,Chickpea,chic,S,chickpea,chk,chickpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
16,Cowpea,cowp,S,cowpea,cow,cowpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
17,Pigeon Pea,pige,S,pigeonpea,pig,pigeonpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
18,Lentil,lent,S,chickpea,chk,chickpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
19,Other Pulses,opul,S,chickpea,chk,chickpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
20,Soybean,soyb,S,soybean,soy,soybean,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
21,Groundnut,grou,S,groundnut,grd,groundnut,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
22,Coconut,cnut,S,coconut,con,coconut,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
23,Oilpalm,oilp,S,oil palm,olp,oilpalm,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
24,Sunflower,sunf,S,sunflower,sfl,sunflower,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
25,Rapeseed,rape,S,rapeseed,rsd,rapeseed,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
