crop,rc_1,rc_2,rc_3,rc_4,rc_5
whea,maiz,,,,
rice,,,,,
maiz,whea,,,,
barl,maiz,,,,
mill,maiz,,,,
sorg,maiz,,,,
ocer,maiz,,,,
pota,swpo,,,,
swpo,pota,,,,
yams,cass,,,,
cass,yams,,,,
orts,,,,,
bean,soyb,,,,
chic,bean,soyb,,,
cowp,bean,soyb,,,
pige,bean,soyb,,,
lent,bean,soyb,,,
opul,bean,soyb,,,
soyb,bean,,,,
grou,,,,,
cnut,,,,,
oilp,,,,,
sunf,rape,,,,
rape,sunf,,,,
sesa,sunf,,,,
ooil,sunf,rape,,,
sugc,,,,,
sugb,,,,,
cott,,,,,
ofib,cott,,,,
coff,teas,,,,
coco,,,,,
teas,coff,,,,
toba,,,,,
bana,trof,temf,,,
plnt,,,,,
trof,temf,,,,
temf,trof,,,,
vege,,,,,
rest,,,,,
